2020/02/05 20:27:34.639 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905654 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905652 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905654 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905652 3}]
2020/02/05 20:27:34.640 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905654 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905652 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905654 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905652 3}]}
2020/02/05 20:27:35.196 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:27:36.621 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:36.622 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905656 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905656 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905656 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905654 3}]
2020/02/05 20:27:36.623 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905656 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905656 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905656 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905654 3}]}
2020/02/05 20:27:38.656 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:38.658 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905658 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905658 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905658 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905656 3}]
2020/02/05 20:27:38.660 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905658 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905658 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905658 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905656 3}]}
2020/02/05 20:27:39.213 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:27:40.636 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:40.637 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905660 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905658 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905660 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905658 3}]
2020/02/05 20:27:40.638 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905660 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905658 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905660 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905658 3}]}
2020/02/05 20:27:41.246 [I] [table.go:195]  产生了3条鱼
2020/02/05 20:27:42.670 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:42.671 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905662 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905660 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905662 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905660 3}]
2020/02/05 20:27:42.672 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905662 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905660 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905662 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905660 3}]}
2020/02/05 20:27:43.227 [I] [table.go:195]  产生了7条鱼
2020/02/05 20:27:44.650 [I] [masterclientrouter.go:27]  ServerListAck begin: MasterClient.ServerListAck
2020/02/05 20:27:44.654 [I] [servermgr.go:25]  Update map: map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905664 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905662 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905664 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905662 3}]
2020/02/05 20:27:44.655 [I] [masterclientrouter.go:37]  ServerListAck end: {{0} map[GateServer01:{GateServer GateServer01 127.0.0.1 7999 3 0 0 1580905664 1} fishServer01:{fishServer fishServer01 127.0.0.1 8003 4 0 0 1580905662 2} loginServer01:{loginServer loginServer01 127.0.0.1 8001 1 1 0 1580905664 0} worldServer01:{worldServer worldServer01 127.0.0.1 8002 2 0 0 1580905662 3}]}
2020/02/05 20:27:44.657 [I] [masterclientrouter.go:23]  Pong:MasterClient.Pong
2020/02/05 20:27:46.225 [I] [table.go:195]  产生了7条鱼
2020/02/05 20:27:47.242 [I] [table.go:195]  产生了4条鱼
2020/02/05 20:27:48.971 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:27:51.207 [I] [table.go:195]  产生了12条鱼
2020/02/05 20:27:51.212 [I] [table.go:242]  鱼id：1过期销毁了
2020/02/05 20:27:55.222 [I] [table.go:195]  产生了3条鱼
2020/02/05 20:27:56.238 [I] [table.go:195]  产生了1条鱼
2020/02/05 20:27:56.239 [I] [table.go:242]  鱼id：2过期销毁了
2020/02/05 20:27:56.240 [I] [table.go:242]  鱼id：5过期销毁了
2020/02/05 20:27:56.241 [I] [table.go:242]  鱼id：4过期销毁了
2020/02/05 20:27:56.242 [I] [table.go:242]  鱼id：3过期销毁了
2020/02/05 20:27:56.242 [I] [table.go:242]  鱼id：6过期销毁了
2020/02/05 20:27:59.643 [I] [masterclientrouter.go:23]  Pong:MasterClient.Pong
2020/02/05 20:28:01.218 [I] [table.go:195]  产生了11条鱼
2020/02/05 20:28:01.221 [I] [table.go:242]  鱼id：21过期销毁了
2020/02/05 20:28:01.223 [I] [table.go:242]  鱼id：19过期销毁了
2020/02/05 20:28:01.224 [I] [table.go:242]  鱼id：27过期销毁了
2020/02/05 20:28:01.227 [I] [table.go:242]  鱼id：23过期销毁了
2020/02/05 20:28:01.230 [I] [table.go:242]  鱼id：8过期销毁了
2020/02/05 20:28:01.232 [I] [table.go:242]  鱼id：9过期销毁了
2020/02/05 20:28:01.233 [I] [table.go:242]  鱼id：20过期销毁了
2020/02/05 20:28:01.234 [I] [table.go:242]  鱼id：22过期销毁了
2020/02/05 20:28:01.236 [I] [table.go:242]  鱼id：14过期销毁了
2020/02/05 20:28:01.238 [I] [table.go:242]  鱼id：12过期销毁了
2020/02/05 20:28:01.239 [I] [table.go:242]  鱼id：25过期销毁了
2020/02/05 20:28:01.241 [I] [table.go:242]  鱼id：7过期销毁了
2020/02/05 20:28:01.242 [I] [table.go:242]  鱼id：24过期销毁了
2020/02/05 20:28:01.244 [I] [table.go:242]  鱼id：16过期销毁了
2020/02/05 20:28:01.247 [I] [table.go:242]  鱼id：18过期销毁了
2020/02/05 20:28:01.253 [I] [table.go:242]  鱼id：11过期销毁了
2020/02/05 20:28:01.255 [I] [table.go:242]  鱼id：26过期销毁了
2020/02/05 20:28:01.257 [I] [table.go:242]  鱼id：13过期销毁了
2020/02/05 20:28:01.261 [I] [table.go:242]  鱼id：15过期销毁了
2020/02/05 20:28:01.263 [I] [table.go:242]  鱼id：28过期销毁了
2020/02/05 20:28:01.264 [I] [table.go:242]  鱼id：10过期销毁了
2020/02/05 20:28:01.264 [I] [table.go:242]  鱼id：17过期销毁了
2020/02/05 20:28:03.964 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:28:03.964 [E] [connection.go:218]  connection closed when send msg
2020/02/05 20:28:06.201 [I] [table.go:195]  产生了4条鱼
2020/02/05 20:28:06.203 [I] [table.go:242]  鱼id：33过期销毁了
2020/02/05 20:28:06.204 [I] [table.go:242]  鱼id：31过期销毁了
2020/02/05 20:28:06.205 [I] [table.go:242]  鱼id：35过期销毁了
2020/02/05 20:28:06.206 [I] [table.go:242]  鱼id：32过期销毁了
2020/02/05 20:28:06.207 [I] [table.go:242]  鱼id：29过期销毁了
2020/02/05 20:28:06.208 [I] [table.go:242]  鱼id：34过期销毁了
2020/02/05 20:28:06.209 [I] [table.go:242]  鱼id：30过期销毁了
2020/02/05 20:28:07.217 [I] [table.go:195]  产生了3条鱼
